"id","pen","pageNum","text","sourceText","zh","createdAt","rects"
"bde868b2-972c-4b35-83e3-8d282dc5e377","core_phrase","1","listen carefully","listen carefully","认真地听","1787498687628","[{""x"":451.3347,""y"":352.3508999999999,""width"":54.58162499999992,""height"":21},{""x"":515.0132624999999,""y"":352.3508999999999,""width"":81.87243749999993,""height"":21}]"
"25f138a0-6bd6-4709-96e4-c9a9bfb083ce","core_phrase","1","do exercise","do exercise","做运动","1787498697123","[{""x"":180.30945,""y"":492.20444999999984,""width"":19.63614545454547,""height"":21},{""x"":209.7636681818182,""y"":492.20444999999984,""width"":78.54458181818185,""height"":21}]"
"dd4c8a07-0676-4352-9a0b-2d840fb954f8","core_phrase","1","put school things in order","put school things in order","把学校的东西放整齐","1787498703844","[{""x"":220.6338,""y"":538.6453499999999,""width"":28.89761538461542,""height"":21},{""x"":259.1639538461539,""y"":538.6453499999999,""width"":57.79523076923084,""height"":21},{""x"":326.5917230769232,""y"":538.6453499999999,""width"":57.79523076923084,""height"":21},{""x"":394.0194923076925,""y"":538.6453499999999,""width"":19.265076923076947,""height"":21},{""x"":422.91710769230787,""y"":538.6453499999999,""width"":48.16269230769234,""height"":21}]"
"42aab167-11ce-4c1e-8deb-d043d1e65020","core_phrase","1","do chores at home","do chores at home","在家做家务","1787498715556","[{""x"":528.3831,""y"":707.5547999999999,""width"":21.353294117647124,""height"":21},{""x"":560.4130411764706,""y"":707.5547999999999,""width"":64.05988235294126,""height"":21},{""x"":635.1495705882354,""y"":707.5547999999999,""width"":21.353294117647124,""height"":21},{""x"":667.179511764706,""y"":707.5547999999999,""width"":42.706588235294134,""height"":21}]"
"4bca7196-7e65-4135-9c62-08d4cd3219a4","core_sentence","1","Good habits are our friends.","Good habits are our friends.","好习惯是我们的朋友。","1787498730540","[{""x"":305.32665,""y"":861.10845,""width"":39.67199999999997,""height"":21},{""x"":354.91664999999995,""y"":861.10845,""width"":59.50799999999998,""height"":21},{""x"":424.34264999999994,""y"":861.10845,""width"":29.75400000000002,""height"":21},{""x"":464.01464999999996,""y"":861.10845,""width"":29.75400000000002,""height"":21},{""x"":503.68665,""y"":861.10845,""width"":79.34399999999994,""height"":21}]"
"bbde5245-f28f-41c6-b9a7-82bd9cf7a7ac","core_sentence","1","They show us the right way.","They show us the right way.","它们指引我们正确的方向。","1787498732452","[{""x"":305.32665,""y"":894.10845,""width"":41.48666666666668,""height"":21},{""x"":357.1849833333333,""y"":894.10845,""width"":41.48666666666668,""height"":21},{""x"":409.04331666666667,""y"":894.10845,""width"":20.74333333333334,""height"":21},{""x"":440.1583166666667,""y"":894.10845,""width"":31.11500000000001,""height"":21},{""x"":481.64498333333336,""y"":894.10845,""width"":51.85833333333335,""height"":21},{""x"":543.8749833333334,""y"":894.10845,""width"":41.48666666666668,""height"":21}]"
"1221957b-30cb-48c7-a337-80277b73de78","core_sentence","1","They help us at work and play.","They help us at work and play.","它们帮助我们工作和玩耍。","1787498739684","[{""x"":305.32665,""y"":960.0904499999999,""width"":41.07320000000004,""height"":21},{""x"":356.66815,""y"":960.0904499999999,""width"":41.073199999999986,""height"":21},{""x"":408.00965,""y"":960.0904499999999,""width"":20.53660000000002,""height"":21},{""x"":438.81455000000005,""y"":960.0904499999999,""width"":20.53660000000002,""height"":21},{""x"":469.6194500000001,""y"":960.0904499999999,""width"":41.073199999999986,""height"":21},{""x"":520.96095,""y"":960.0904499999999,""width"":30.804899999999975,""height"":21},{""x"":562.03415,""y"":960.0904499999999,""width"":51.341499999999996,""height"":21}]"
"34d4dc67-b524-48c4-ae1c-e59a3f14dd3c","core_phrase","2","take notes","take notes","做笔记","1787498751492","[{""x"":209.38574999999997,""y"":352.3508999999999,""width"":41.395200000000045,""height"":21},{""x"":261.12975000000006,""y"":352.3508999999999,""width"":51.744000000000085,""height"":21}]"
"ce721fd6-931a-4ee6-9e2a-521b24909da0","core_phrase","2","keep the room tidy","keep the room tidy","保持房间干净","1787498752972","[{""x"":83.82885,""y"":700.0547999999999,""width"":42.03033333333333,""height"":21},{""x"":136.36676666666668,""y"":700.0547999999999,""width"":31.522750000000002,""height"":21},{""x"":178.39710000000002,""y"":700.0547999999999,""width"":42.03033333333332,""height"":21},{""x"":230.93501666666668,""y"":700.0547999999999,""width"":42.03033333333332,""height"":21}]"
"de4881bb-0163-4149-8dd0-52041954ad15","core_sentence","2","What good habits should you have?","What good habits should you have?","你有什么好习惯？","1787498841997","[{""x"":518.7402,""y"":166.9288499999999,""width"":44.625,""height"":21},{""x"":574.52145,""y"":166.9288499999999,""width"":44.625,""height"":21},{""x"":630.3027,""y"":166.9288499999999,""width"":66.9375,""height"":21},{""x"":518.7402,""y"":196.9378499999998,""width"":65.18925000000002,""height"":21},{""x"":594.794325,""y"":196.9378499999998,""width"":32.59462499999995,""height"":21},{""x"":638.2538249999999,""y"":196.9378499999998,""width"":54.32437500000003,""height"":21}]"
"7168f8b0-98b2-44c7-80ac-7468c78f8eb6","core_sentence","6","Yang Ling has many good habits.","Yang Ling has many good habits.","杨玲有很多好习惯。","1787498968071","[{""x"":144.567,""y"":206.7674999999998,""width"":41.63040000000001,""height"":21},{""x"":196.60500000000002,""y"":206.7674999999998,""width"":41.63040000000001,""height"":21},{""x"":248.64300000000003,""y"":206.7674999999998,""width"":31.222800000000007,""height"":21},{""x"":290.27340000000004,""y"":206.7674999999998,""width"":41.63040000000001,""height"":21},{""x"":342.31140000000005,""y"":206.7674999999998,""width"":41.63040000000001,""height"":21},{""x"":394.34940000000006,""y"":206.7674999999998,""width"":72.85320000000002,""height"":21}]"
